"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",57.9097136620478,2.55940374346818,22.6262518408197,2.56360891192915e-93
"media_irreg",-1.74318605198391,0.802679932545362,-2.17170752787619,0.0300916416814031
"nbi2005",-0.262513495929009,0.013698859198371,-19.1631647663205,8.06007816057502e-71
"l_pop2018",0.947602550408812,0.258490134878796,3.66591379146107,0.00025826934766581
"assigment1",-1.12697608408086,0.617614894988734,-1.8247229677021,0.0683149591056097
